date,open,high,low,close,volume,name
05-12-2019,1513.8,1513.8,1513.8,1521.7,0.00K,XAUUSD
06-12-2019,1509.6,1509.6,1497.2,1504.2,0.01K,XAUUSD
09-12-2019,1493.2,1493.2,1489.4,1505.6,0.30K,XAUUSD
10-12-2019,1490.6,1496,1489.7,1508.9,0.14K,XAUUSD
11-12-2019,1500,1507,1497.5,1515.8,0.14K,XAUUSD
12-12-2019,1511.2,1514,1494.1,1513.6,0.17K,XAUUSD
13-12-2019,1493,1507.9,1493,1523,0.47K,XAUUSD
16-12-2019,1505.4,1509.4,1503.9,1523.2,0.42K,XAUUSD
17-12-2019,1505.8,1510,1505,1523.5,0.21K,XAUUSD
18-12-2019,1506.4,1508.5,1501.7,1521,1.56K,XAUUSD
19-12-2019,1505.4,1510.4,1503.5,1526.6,0.57K,XAUUSD
20-12-2019,1515.8,1515.8,1515.8,1523.1,0.00K,XAUUSD
23-12-2019,1510.7,1514.9,1510.7,1531.2,0.39K,XAUUSD
24-12-2019,1518.6,1530.1,1518.6,1547.3,0.45K,XAUUSD
25-12-2019,1504.4,1504.4,1502.15,1504.05,-,XAUUSD
26-12-2019,1544.2,1544.2,1544.2,1557.1,0.00K,XAUUSD
27-12-2019,1540.7,1545,1540,1561.2,0.29K,XAUUSD
30-12-2019,1543.9,1545.5,1540.1,1562.3,0.46K,XAUUSD
31-12-2019,1546.7,1555,1546.4,1567.6,0.67K,XAUUSD
01-01-2020,1520.85,1523.95,1520.85,1520.95,-,XAUUSD
02-01-2020,1548.7,1559.5,1548.2,1572.1,1.25K,XAUUSD
03-01-2020,1591,1592.1,1588.6,1596.4,0.41K,XAUUSD
06-01-2020,1608.2,1612.4,1600.3,1613.3,0.01K,XAUUSD
07-01-2020,1602.6,1602.6,1602.6,1618.7,0.07K,XAUUSD
08-01-2020,1612.6,1638.4,1612.6,1603.8,0.02K,XAUUSD
09-01-2020,1583,1587.5,1570.2,1597.8,1.43K,XAUUSD
10-01-2020,1577.6,1589.6,1574.1,1603.3,0.11K,XAUUSD
13-01-2020,1586.8,1586.8,1574.9,1593.7,2.70K,XAUUSD
14-01-2020,1573.2,1573.9,1563.4,1587.5,1.76K,XAUUSD
15-01-2020,1587.8,1587.8,1587.8,1596.6,0.00K,XAUUSD
16-01-2020,1580.4,1583.4,1575,1593,0.03K,XAUUSD
17-01-2020,1578.6,1588,1577.1,1603.4,1.54K,XAUUSD
19-01-2020,1557.4,1559.05,1556.45,1557.05,-,XAUUSD
20-01-2020,1557.2,1562.7,1556.65,1561.25,-,XAUUSD
21-01-2020,1595,1595,1595,1601,0.00K,XAUUSD
22-01-2020,1583.1,1585.5,1577.6,1599.7,0.07K,XAUUSD
23-01-2020,1585,1593.5,1580.1,1608.3,1.75K,XAUUSD
24-01-2020,1595,1609.5,1595,1615.4,0.05K,XAUUSD
27-01-2020,1616.8,1617.8,1616.8,1620.8,0.00K,XAUUSD
28-01-2020,1606.7,1607.1,1593.4,1613.2,10.91K,XAUUSD
29-01-2020,1594.5,1603.6,1589.3,1614.5,0.03K,XAUUSD
30-01-2020,1601.6,1612,1599,1627.3,0.03K,XAUUSD
31-01-2020,1599.7,1615.3,1597.7,1626.1,0.00K,XAUUSD
03-02-2020,1606,1606,1606,1621,0.00K,XAUUSD
04-02-2020,1602.3,1602.3,1576,1595,0.03K,XAUUSD
05-02-2020,1579.4,1587,1573,1602.2,2.05K,XAUUSD
06-02-2020,1580.7,1592.4,1579.3,1609.5,0.07K,XAUUSD
